file,line,col,sink,classification,note,via,snippet
login-auth.js,63,4,innerHTML,ESC_WRAPPED,template,,"overlay.innerHTML = `<div class=""confirm-card""> <div class=""confirm-title"" id=""restore-account-title"">Restore Account</div> <div class=""confirm-message"">Your account is scheduled …"
shared/supabase.js,150,4,innerHTML,LITERAL,,,"toast.innerHTML = '<span>Session expired</span><button class=""sync-toast-btn"" data-action=""go-login"">Sign In</button>'"
teacher-mobile/card-stack.js,49,6,innerHTML,UNKNOWN,call:_renderCard,,"el.innerHTML = _renderCard(_cards[idx], idx)"
teacher-mobile/card-stack.js,54,6,innerHTML,LITERAL,,,containerEl.innerHTML = ''
teacher-mobile/card-stack.js,71,6,innerHTML,UNKNOWN,call:_renderCard,,"behindEl.innerHTML = _renderCard(_cards[behindIdx], behindIdx)"
teacher-mobile/card-stack.js,220,6,innerHTML,LITERAL,,,containerEl.innerHTML = ''
teacher-mobile/card-widget-editor.js,97,19,innerHTML,LITERAL,helper:buildEditorHTML,,content.innerHTML = buildEditorHTML()
teacher-mobile/card-widget-editor.js,116,19,innerHTML,LITERAL,helper:buildEditorHTML,,content.innerHTML = buildEditorHTML()
teacher-mobile/card-widget-editor.js,170,23,innerHTML,LITERAL,helper:buildEditorHTML,,content.innerHTML = buildEditorHTML()
teacher-mobile/components.js,76,4,innerHTML,UNKNOWN,concat:concat:ident:html,,"container.innerHTML = '<div class=""m-sheet' + halfClass + '"">' + '<div class=""m-sheet-handle""></div>' + '<div class=""m-sheet-content"">' + html + '</div></div>'"
teacher-mobile/components.js,161,6,innerHTML,LITERAL,,,container.innerHTML = ''
teacher-mobile/components.js,176,4,innerHTML,ESC_WRAPPED,concat,,"el.innerHTML = '<div class=""m-toast-item""><span>' + _esc(message) + '</span>' + undoBtn + '</div>'"
teacher-mobile/components.js,190,4,innerHTML,LITERAL,,,el.innerHTML = ''
teacher-mobile/shell.js,110,6,innerHTML,LITERAL,,,"_pullIndicator.innerHTML = '<span class=""m-pull-spinner""></span>'"
teacher-mobile/shell.js,311,4,innerHTML,LITERAL,,,stack.innerHTML = ''
teacher-mobile/shell.js,323,4,innerHTML,UNKNOWN,"helper:renderPicker|helper:renderPicker:fn-return:call:localeCompare,concat:concat:concat:concat:concat:concat:helper:navBar|helper:navBar:fn-return:concat:concat:concat:concat:depth-limit,depth-limit,concat:depth-limit,depth-limit",,stack.innerHTML = html
teacher-mobile/shell.js,346,4,innerHTML,UNKNOWN,ident:html,,tmp.innerHTML = html
teacher-mobile/tab-observe.js,137,6,innerHTML,UNKNOWN,"helper:_renderObsCards|helper:_renderObsCards:fn-return:logical:member:dims,concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:depth-limit,depth-limit,helper:esc|helper:esc:fn-return:call:replace,ternary:concat:concat:concat:concat:concat:concat:logical:member:dim,helper:esc|helper:esc:fn-return:call:replace",,"container.innerHTML = _renderObsCards(cid, allObs, filter)"
teacher-mobile/tab-observe.js,279,6,innerHTML,LITERAL,,,"picker.innerHTML = '<span class=""m-student-picker-placeholder"">Select student...</span>'"
teacher-mobile/tab-observe.js,281,6,innerHTML,UNKNOWN,"fn-return:concat:concat:concat:concat:helper:esc|helper:esc:fn-return:call:replace,ident:sid",,"picker.innerHTML = _selectedStudents.map(function(sid) { var st = students.find(function(s) { return s.id === sid; }); return '<span class=""m-student-chip"">' + MC.esc(st ? display…"
teacher-mobile/tab-observe.js,417,6,innerHTML,UNKNOWN,"helper:_renderObsCards|helper:_renderObsCards:fn-return:logical:member:dims,concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:depth-limit,depth-limit,helper:esc|helper:esc:fn-return:call:replace,ternary:concat:concat:concat:concat:concat:concat:logical:member:dim,helper:esc|helper:esc:fn-return:call:replace",,"container.innerHTML = _renderObsCards(cid, allObs, _activeFilter)"
teacher-mobile/tab-students.js,178,6,innerHTML,UNKNOWN,"helper:buildCells|helper:buildCells:fn-return:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:depth-limit,depth-limit,depth-limit,ternary:concat:concat:depth-limit,depth-limit,helper:profBg|helper:profBg:fn-return:logical:member:?,member:?,member:chevronRight",,"listEl.innerHTML = ListUI.buildCells(students, _activeCid, allStatuses, allAssessments, _renderBadges)"
teacher/assign-collab.js,68,6,innerHTML,TRUSTED_EXPR,concat,,mount.innerHTML = html
teacher/assign-collab.js,101,6,innerHTML,LITERAL,,,mount.innerHTML = html
teacher/assign-collab.js,149,6,innerHTML,LITERAL,,,mount.innerHTML = html
teacher/dash-class-manager.js,815,12,innerHTML,LITERAL,concat,,el.innerHTML = html
teacher/dash-class-manager.js,850,12,innerHTML,LITERAL,,,el.innerHTML = ''
teacher/dash-class-manager.js,894,6,innerHTML,LITERAL,concat,,document.getElementById('main').innerHTML = html
teacher/dash-class-manager.js,914,4,innerHTML,LITERAL,,,document.getElementById('main').innerHTML = html
teacher/dash-class-manager.js,2235,6,innerHTML,TRUSTED_EXPR,concat,,"sumEl.innerHTML = 'Sum: <strong>' + sum + '</strong> / 100%' + (over ? ' <span class=""cm-cat-sum-warn"">(reduce weights to save)</span>' : '')"
teacher/dash-class-manager.js,2728,6,innerHTML,LITERAL,,,p.innerHTML = ''
teacher/dash-class-manager.js,2732,6,innerHTML,LITERAL,,,palette.innerHTML = ''
teacher/dash-class-manager.js,2748,4,innerHTML,UNKNOWN,"concat:concat:concat:concat:concat:concat:concat:concat:member:target,ident:c,ident:c",,palette.innerHTML = html
teacher/page-assignments.js,135,4,innerHTML,TRUSTED_EXPR,helper:renderSidebar,,"document.getElementById('sidebar-mount').innerHTML = renderSidebar( activeCourse, focusStudentId, 'toggleFocusStudent', )"
teacher/page-assignments.js,158,4,innerHTML,TRUSTED_EXPR,helper:renderSidebar,,"document.getElementById('sidebar-mount').innerHTML = renderSidebar( activeCourse, focusStudentId, 'toggleFocusStudent', )"
teacher/page-assignments.js,171,4,innerHTML,TRUSTED_EXPR,helper:renderSidebar,,"document.getElementById('sidebar-mount').innerHTML = renderSidebar( activeCourse, focusStudentId, 'toggleFocusStudent', )"
teacher/page-assignments.js,756,4,innerHTML,UNKNOWN,member:toolbarHtml,,document.getElementById('page-toolbar-mount').innerHTML = result.toolbarHtml
teacher/page-assignments.js,759,18,innerHTML,UNKNOWN,member:rubHtml,,rubPanel.innerHTML = result.rubHtml
teacher/page-assignments.js,760,18,innerHTML,UNKNOWN,member:advHtml,,advPanel.innerHTML = result.advHtml
teacher/page-assignments.js,763,4,innerHTML,UNKNOWN,"helper:renderAssessmentList|helper:renderAssessmentList:fn-return:helper:getTagById|helper:getTagById:fn-return:call:find,ternary:concat:concat:concat:concat:concat:concat:member:color,member:color,ternary:helper:renderRubricGradingView|helper:renderRubricGradingView:fn-return:helper:getTagById|helper:getTagById:fn-return:call:find,ternary:member:score",,"document.getElementById('main').innerHTML = renderAssessmentList( cid, assessments, allAssessments, students, scores, modules, )"
teacher/page-assignments.js,1231,6,innerHTML,UNKNOWN,"helper:renderAssessForm|helper:renderAssessForm:fn-return:call:slice,concat:concat:concat:concat:concat:concat:concat:ident:t,call:toUpperCase,call:slice,concat:concat:concat:concat:concat:concat:concat:concat:ident:v,ident:v",,"form.innerHTML = renderAssessForm(activeCourse, null)"
teacher/page-assignments.js,1389,6,innerHTML,UNKNOWN,"helper:renderAssessForm|helper:renderAssessForm:fn-return:call:slice,concat:concat:concat:concat:concat:concat:concat:ident:t,call:toUpperCase,call:slice,concat:concat:concat:concat:concat:concat:concat:concat:ident:v,ident:v",,"form.innerHTML = renderAssessForm(cid, assess)"
teacher/page-assignments.js,2335,6,innerHTML,LITERAL,,,"bar.innerHTML = '<div class=""rsg-descriptor-left""><span class=""rsg-descriptor-label""></span><span class=""rsg-descriptor-tags""></span></div><span class=""rsg-descriptor-text""></span…"
teacher/page-assignments.js,2343,4,innerHTML,LITERAL,,,bar.querySelector('.rsg-descriptor-label').innerHTML = ''
teacher/page-assignments.js,2344,4,innerHTML,LITERAL,,,bar.querySelector('.rsg-descriptor-tags').innerHTML = ''
teacher/page-assignments.js,2345,4,innerHTML,LITERAL,,,"bar.querySelector('.rsg-descriptor-text').innerHTML = '<span class=""rsg-descriptor-idle"">Hover a rubric level to see its descriptor</span>'"
teacher/page-assignments.js,2366,4,innerHTML,UNKNOWN,"concat:concat:concat:concat:logical:member:level,logical:member:level,ident:level",,"bar.querySelector('.rsg-descriptor-label').innerHTML = esc(crit.name) + ' <span style=""color:' + (levelColors[level] || 'var(--text-3)') + '"">\u2014 ' + (levelNames[level] || leve…"
teacher/page-assignments.js,2390,4,innerHTML,ESC_WRAPPED,fn-return,,bar.querySelector('.rsg-descriptor-tags').innerHTML = tagsHtml
teacher/page-assignments.js,2488,4,insertAdjacentHTML,LITERAL,concat,,"document.body.insertAdjacentHTML('beforeend', html)"
teacher/page-assignments.js,2766,4,innerHTML,UNKNOWN,"helper:renderCriterionBlock|helper:renderCriterionBlock:fn-return:call:has,concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:depth-limit,depth-limit,ternary:depth-limit,depth-limit,ident:ci,ternary:member:1,ident:ci,concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:depth-limit,depth-limit,ident:ci,call:?",,mount.innerHTML = h
teacher/page-assignments.js,2853,8,innerHTML,ESC_WRAPPED,concat,,"dd.innerHTML = '<option value="""">None</option>' + freshRubrics .map(function (r) { return ( '<option value=""' + esc(r.id) + '"">' + esc(r.name) + ' (' + r.criteria.length + ' crite…"
teacher/page-assignments.js,2947,4,innerHTML,UNKNOWN,concat:concat:concat:concat:fn-return:concat:concat:concat:concat:concat:concat:call:toLocaleDateString,,"overlay.innerHTML = '<div class=""comment-popover""><div class=""comment-popover-header""><div><div class=""comment-popover-title"">' + esc(displayName(student)) + '</div><div class=""co…"
teacher/page-assignments.js,2997,8,innerHTML,UNKNOWN,ternary:concat:concat:ident:count,,"btn.innerHTML = count > 0 ? 'Comment <span class=""comment-count"">' + count + '</span>' : 'Comment'"
teacher/page-assignments.js,4097,4,innerHTML,TRUSTED_EXPR,helper:renderSidebar,,"document.getElementById('sidebar-mount').innerHTML = renderSidebar( activeCourse, focusStudentId, 'toggleFocusStudent', )"
teacher/page-dashboard.js,369,4,innerHTML,UNKNOWN,"helper:renderDashToolbar|helper:renderDashToolbar:fn-return:concat:concat:concat:concat:concat:concat:ident:cid,concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:concat:depth-limit,depth-limit,depth-limit,ternary:concat:concat:depth-limit,depth-limit",,"document.getElementById('page-toolbar-mount').innerHTML = Overview.renderDashToolbar({ activeCourse: activeCourse, sortMode: sortMode, searchQuery: searchQuery, showFlaggedOnly: s…"
teacher/page-dashboard.js,406,4,innerHTML,UNKNOWN,"helper:renderStudentCards|helper:renderStudentCards:fn-return:call:localeCompare,concat:ident:a,member:score,concat:ident:a,member:score",,document.getElementById('main').innerHTML = html
teacher/page-gradebook.js,418,4,innerHTML,UNKNOWN,"helper:renderDetailedTable|helper:renderDetailedTable:fn-return:logical:call:includes,call:find,call:find",,document.getElementById('main').innerHTML = html
